Date,Venue,City,Extras,Notes
"Tuesday, April 18, 1995",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,
"Wednesday, April 19, 1995",Bass Concert Hall,"Austin, Texas",,
"Friday, April 21, 1995",Bass Concert Hall,"Austin, Texas",,
"Saturday, April 22, 1995",Smirnoff Music Center,"Dallas, Texas",,
"Tuesday, April 25, 1995",Blockbuster Desert Sky Pavilion,"Phoenix, Arizona",,
"Wednesday, April 26, 1995",San Diego Sports Arena,"San Diego, California",,
"Friday, April 28, 1995",Glen Helen Blockbuster Pavilion,"Devore, California",,
"Sunday, April 30, 1995",Shoreline Amphitheatre,"Mountain View, California",,
"Monday, May 1, 1995",ARCO Arena,"Sacramento, California",,
"Wednesday, May 3, 1995",Memorial Coliseum,"Portland, Oregon",,
"Thursday, May 4, 1995",Gorge Amphitheatre,"George, Washingon",,
"Friday, May 5, 1995",Gorge Amphitheatre,"George, Washington",,
"Saturday, May 6, 1995",Pacific Coliseum,"Vancouver, Canada",,
"Monday, May 15, 1995",Miami Arena,"Miami, Florida",,
"Wednesday, May 17, 1995",Miami Arena,"Miami, Florida",,
"Friday, May 19, 1995",USF Sun Dome,"Tampa, Florida",,
"Saturday, May 20, 1995",T.D. Waterhouse Center,"Orlando, Florida",,
"Tuesday, May 23, 1995",Pensacola Civic Center,"Pensacola, Florida",,
"Thursday, May 25, 1995",Oak Mountain Amphitheatre,"Pelham, Alabama",,
"Saturday, May 27, 1995",Amsouth Amphitheatre,"Antioch, Tennessee",,
"Sunday, May 28, 1995",Orpheum Theatre,"Memphis, Tennessee",,
"Tuesday, May 30, 1995",Orpheum Theatre,"Memphis, Tennessee",,
"Wednesday, May 31, 1995",Orpheum Theatre,"Memphis, Tennessee",,
"Friday, June 2, 1995",Riverport Amphitheatre,"Maryland Heights, Missouri",,
"Saturday, June 3, 1995",Sandstone Amphitheatre,"Bonner Springs, Kansas",,
"Monday, June 5, 1995",Music Hall,"Oklahoma City, Oklahoma",,
"Tuesday, June 6, 1995",Music Hall,"Oklahoma City, Oklahoma",,
"Friday, June 9, 1995",Hollywood Bowl,"Los Angeles, California",,
"Saturday, June 10, 1995",Hollywood Bowl,"Los Angeles, California",,
"Monday, June 12, 1995",Lawlor Events Center,"Reno, Nevada",,
"Tuesday, June 13, 1995",Shoreline Amphitheater,"Mountain View, California",,
"Thursday, August 10, 1995",Delta Center,"Salt Lake City, Utah",,
"Friday, August 11, 1995",Fiddler's Green Amphitheatre,"Englewood, Colorado",,
"Monday, August 14, 1995",Tweeter Center,"Mansfield, Massachusetts",,
"Tuesday, August 15, 1995",Saratoga Performing Arts Center,"Saratoga Springs, New York",,
"Thursday, April 17, 1995",Jones Beach Amphitheatre,"Wantagh, New York",,
"Friday, August 18, 1995",Meadow Music Centre,"Hartford, Connecticut",,
"Sunday, August 20, 1995",Garden State Arts Centre,"Holmdel, New Jersey",,
"Monday, August 21, 1995",E-Centre,"Camden, New Jersey",,
"Thursday, August 24, 1995",Merriweather Post Pavilion,"Columbia, Maryland",,
"Saturday, August 26, 1995",Post-Gazette Pavilion at Star Lake,"Burggetstown, Pennsylvania",,
"Sunday, August 27, 1995",Blossom Music Center,"Cuyahoga Falls, Ohio",,
"Tuesday, August 29, 1995",Polaris Amphitheatre,"Columbus, Ohio",,
"Wednesday, August 30, 1995",Riverbend Music Center,"Cincinnati, Ohio",,
"Friday, September 1, 1995",Pine Knob Music Theatre,"Clarkson, Michigan",,
"Saturday, September 2, 1995",Pine Knob Music Theatre,"Clarkson, Michigan",,
"Sunday, September 10, 1995",Target Center,"Minneapolis, Minnesota",,
"Tuesday, September 12, 1995",Hilton Coliseum,"Ames, Iowa",,
"Wednesday, September 13, 1995",Mark of the Quad Cities,"Moline, Illinois",,
"Friday, September 15, 1995",New World Music Theatre,"Tinley Park, Illinois",,
"Saturday, September 16, 1995",Alpine Valley Music Theatre,"Easy Troy, Wisconsin",,
"Monday, September 18, 1995",Allen County War Memorial Coliseum,"Fort Wayne, Indiana",,
"Tuesday, September 19, 1995",Deer Creek Music Center,"Noblesville, Indiana",,
"Thursday, September 21, 1995",Roberts Stadium,"Evansville, Indiana",,
"Saturday, September 23, 1995",Rupp Arena,"Lexington, Kentucky",,
"Sunday, September 24, 1995",Knoxville Civic Coliseum,"Knoxville, Tennessee",,
"Wednesday, September 27, 1995",Alltel Pavilion at Walnut Creek,"Raleigh, North Carolina",,
"Thursday, September 28, 1995",North Charleston Coliseum,"North Charleston, South Carolina",,
"Saturday, September 30, 1995",Lakewood Amphitheatre,"Atlanta, Georgia",,
"Sunday, October 1, 1995",Von Braun Civic Center Arena,"Huntsville, Alabama",,
"Tuesday, October 3, 1995",BancorpSouth Center,"Tupelo, Mississippi",,
"Wednesday, October 4, 1995",Mississippi Coliseum,"Jackson, Mississippi",,
"Friday, October 6, 1995",Coleman Coliseum,"Tuscaloosa, Alabama",,Westwood One radio broadcast
"Sunday, October 8, 1995",Lakefront Arena,"New Orleans, Lousiana",,
"Saturday, September 28, 1996",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season #22, Episode 407)"
,,,,Walls (No. 3)/Angel Dream (No. 2)
,,,,Curt Bisquera on drums
"Friday, January 10, 1997",Fillmore Auditorium,"San Francisco, California",,
"Saturday, January 11, 1997",Fillmore Auditorium,"San Francisco, California",,
"Sunday, January 12, 1997",Fillmore Auditorium,"San Francisco, California",,
"Tuesday, January 14, 1997",Fillmore Auditorium,"San Francisco, California",,
"Thursday, January 16, 1997",Fillmore Auditorium,"San Francisco, California",,
"Sunday, January 19, 1997",Fillmore Auditorium,"San Francisco, California",,
"Monday, January 20, 1997",Fillmore Auditorium,"San Francisco, California",,
"Tuesday, January 21, 1997",Fillmore Auditorium,"San Francisco, California",,
"Friday, January 24, 1997",Fillmore Auditorium,"San Francisco, California",,
"Saturday, January 25, 1997",Fillmore Auditorium,"San Francisco, California",,
"Sunday, January 26, 1997",Fillmore Auditorium,"San Francisco, California",,
"Tuesday, January 28, 1997",Fillmore Auditorium,"San Francisco, California",,
"Wednesday, January 29, 1997",Fillmore Auditorium,"San Francisco, California",,
"Friday, January 31, 1997",Fillmore Auditorium,"San Francisco, California",,
"Saturday, February 1, 1997",Fillmore Auditorium,"San Francisco, California",,
"Monday, February 3, 1997",Fillmore Auditorium,"San Francisco, California",,
"Tuesday, February 4, 1997",Fillmore Auditorium,"San Francisco, California",,
"Thursday, February 6, 1997",Fillmore Auditorium,"San Francisco, California",,
"Friday, February 7, 1997",Fillmore Auditorium,"San Francisco, California",,
"Sunday, March 7, 1999",Fillmore Auditorium,"San Francisco, California",,
"Monday, March 8, 1999",Fillmore Auditorium,"San Francisco, California",,
"Wednesday, March 10, 1999",Fillmore Auditorium,"San Francisco, California",,
"Friday, March 12, 1999",Fillmore Auditorium,"San Francisco, California",,
"Saturday, March 13, 1999",Fillmore Auditorium,"San Francisco, California",,
"Monday, March 15, 1999",Fillmore Auditorium,"San Francisco, California",,
"Tuesday, March 16, 1999",Fillmore Auditorium,"San Francisco, California",,
"Saturday, April 10, 1999",NBC Studio 8=H,"New York City, New York",,"Saturday Night Live (Season #24, Episode 463)"
,,,,Swingin'/Room at the Top
"Sunday, April 11, 1999",Irving Plaza,"New York City, New York",,
"Monday, April 12, 1999",Irving Plaza,"New York City, New York",,
"Thursday, April 15, 1999",Irving Plaza,"New York City, New York",,
"Monday, April 19, 1999",Shepherd's Bush Empire,"London, England",,
"Tuesday, April 20, 1999",Shepherd's Bush Empire,"London, England",,
"Friday, April 23, 1999",Docks Konzerte,"Hamburg, Germany",,
"Monday, June 14, 1999",Van Andel Arena,"Grand Rapids, Michigan",,
"Wednesday, June 16, 1999",Gund Arena,"Cleveland, Ohio",,
"Friday, June 18, 1999",Pine Knob Music Theater,"Clarkson, Michigan",,
"Saturday, June 19, 1999",Pine Knob Music Theater,"Clarkson, Michigan",,
"Tuesday, June 22, 1999",Darien Lake Peforming Arts Center,"Darien Center, New York",,
"Wednesday, June 23, 1999",Star Lake Amphitheatre,"Burgettstown, Pennsylvania",,
"Friday, June 25, 1999",Nissan Pavilion,"Bristow, Virginia",,
"Saturday, June 26, 1999",E-Centre,"Camden, New Jersey",,
"Tuesday, June 29, 1999",Meadows Music Theatre,"Hartford, Connecticut",,
"Wednesday, June 30, 1999",Garden State Arts Center,"Holmdel, New Jersey",,
"Friday, July 2, 1999",Jones Beach Amphitheatre,"Wantagh, New York",,
"Saturday, July 3, 1999",Jones Beach Amphitheatre,"Wantagh, New York",,
"Monday, July 5, 1999",Hersey Park Stadium,"Hershey, Pennsylvania",,
"Tuesday, July 6, 1999",Air Canada Center,"Toronto, Ontario",,
"Friday, July 9, 1999",Tweeter Center,"Mansfield, Massachussetts",,
"Saturday, July 10, 1999",Tweeter Center,"Mansfield, Massachussetts",,
"Monday, July 12, 1999",--,"Southampton, New York",,
"Wednesday, July 21, 1999",Freedom Hall,"Louisville, Kentucky",,
"Friday, July 23, 1999",Deer Creek Music Theatre,"Noblesville, Indiana",,
"Saturday, July 24, 1999",Riverport Amphitheatre,"Maryland Heights, Missouri",,
"Tuesday, July 27, 1999",Riverbend Music Center,"Cincinnati, Ohio",,
"Wednesday, July 28, 1999",Polaris Amphitheatre,"Columbus, Ohio",,
"Friday, July 30, 1999",Marcus Amphitheatre,"Milwaukee, Wisconsin",,
"Saturday, July 31, 1999",New World Music Theatre,"Tinley Park, Illinois",,
"Tuesday, August 3, 1999",Target Center,"Minneapolis, Minnesota",,
"Wednesday, August 4, 1999",Sandstone Amphitheatre,"Bonner Springs, Kansas",,
"Friday, August 6, 1999",Amsouth Amphitheatre,"Antioch, Tennessee",,
"Saturday, August 7, 1999",The Pyramid,"Memphis, Tennessee",,
"Friday, August 13, 1999",Irvine Meadows Amphitheatre,"Irvine, California",,
"Saturday, August 14, 1999",Irvine Meadows Amphitheatre,"Irvine, California",,
"Wednesday, August 18, 1999",Coors Amphitheatre,"Chula Vista, California",,
"Thursday, August 19, 1999",America West Arena,"Phoenix, Arizona",,
"Saturday, August 21, 1999",The Joint,"Las Vegas, Nevada",,
"Sunday, August 22, 1999",Centennial Garden,"Bakersfield, California",,
"Wednesday, August 25, 1999",Reno Hilton Amphitheatre,"Reno, Nevada",,
"Friday, August 27, 1999",Shoreline Amphitheatre,"Mountain View, California",,
"Saturday, August 28, 1999",Shoreline Amphitheatre,"Mountain View, California",,
"Monday, August 30, 1999",Arco Arena,"Sacramento, California",,
"Wednesday, September 1, 1999",Rose Garden Arena,"Portland, Oregon",,
"Thursday, September 2, 1999",General Motors Place,"Vancouver, British Columbia",,
"Saturday, September 4, 1999",Gorge Amphitheatre,"George, Washington",,
"Sunday, September 5, 1999",Gorge Amphitheatre,"George, Washington",,
"Thursday, September 16, 1999",Starplex Amphitheatre,"Dallas, Texas",,
"Friday, September 17, 1999",Frank Erwin Center,"Austin, Texas",,
"Sunday, September 19, 1999",C.W. Mitchell Pavilion,"The Woodslads, Texas",,
"Tuesday, September 21, 1999",Ice Palace,"Tampa, Florida",,
"Wednesday, September 22, 1999",Coral Sky Amphitheatre,"West Palm Beach, Florida",,
"Friday, September 24, 1999",Lakewood Amphitheatre,"Atlanta, Georgia",,
"Saturday, September 25, 1999",Blockbuster Pavilion,"Charlotte, North Carolina",,
"Tuesday, September 28, 1999",Bi-Lo Center,"Greenville, South Carolina",,
"Wednesday, September 29, 1999",Walnut Creek Amphitheatre,"Raleigh, North Carolina",,
"Friday, October 1, 1999",First Union Center,"Philadelphia, Pennsylvania",,
"Saturday, October 2, 1999",Virginia Beach Amphitheatre,"Virginia Beach, Virginia",,
"Monday, October 4, 1999",Meriweather Post Pavilion,"Columbia, Maryland",,
"Wednesday, October 6, 1999",Assembly Hall,"Bloomington, Indiana",,Cancelled.
"THursday, October 7, 1999",United Center,"Chicago, Illinois",,
"Saturday, October 9, 1999",Palace of Auburn Hills,"Auburn Hills, Michigan",,
"Monday, October 11, 1999",Mark Of The Quad Cities,"Moline, Illinois",,
"Tuesday, October 12, 1999",Kohl Center,"Madison, Wisconsin",,
"Friday, October 15, 1999",MGM Grand,"Las Vegas, Nevada",,
"Saturday, October 16, 1999",Hollywood Bowl,"Hollywood, California",,
"Wednesday, May 9, 2001",Gill Coliseum,"Corvallis, Oregon",,
"Friday, May 11, 2001",Idaho Center,"Boise, Idaho",,
"Saturday, May 12, 2001",The Gorge,"George, Washington",,
"Tuesday, May 15, 2001",Red Rocks Amphitheatre,"Morrison, Colorado",,
"Wednesday, May 16, 2001",Red Rocks Amphitheatre,"Morrison, Colorado",,
"Friday, May 18, 2001",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,
"Saturday, May 19, 2001",Verizon Wireless Amphitheatre,"San Antonio, Texas",,
"Monday, May 21, 2001",Smirnoff Music Centre,"Dallas, Texas",,
"Thursday, May 24, 2001",Santa Barbara County Bowl,"Santa Barbara, California",,
"Sunday, May 27, 2001",Sacramento Valley Amphitheatre,"Sacramento, California",,
"Monday, May 28, 2001",Chronicle Pavilion,"Concord, California",,
"Wednesday, May 30, 2001",San Diego State University Open Air Theatre,"San Diego, California",,
"Friday, June 1, 2001",Hard Rock Hotel,"Las Vegas, Nevada",,
"Saturday, June 2, 2001",Hard Rock Hotel,"Las Vegas, Nevada",,
"Wednesday, June 27, 2001",Coors Light Amphitheater,"Scranton, Pennsylvania",,
"Thursday, June 28, 2001",Tweeter Center at the Waterfront,"Camden, New Jersey",,
"Saturday, June 30, 2001",Nissan Pavillion,"Bristow, Virginia",,
"Sunday, July 1, 2001",PNC Arts Center,"Holmdel, New Jersey",,
"Wednesday, July 4, 2001",Marcus Amphitheatre,"Milwaukee, Wisconsin",,
"Thursday, July 5, 2001",Jones Beach Amphitheatre,"Wantagh, New York",,
"Saturday, July 7, 2001",Saratoga Performing Arts Center,"Saratoga Springs, New York",,
"Sunday, July 8, 2001",Tweeter Center,"Boston, Massachussetts",,
"Tuesday, July 10, 2001",Post-Gazette Pavillion at Star Lake,"Pittsburgh, Pennsylvania",,
"Thursday, July 12, 2001",Pine Knob Music Theater,"Clarkson, Michigan",,
"Saturday, July 14, 2001",HiFi Buys Amphitheatre,"Atlanta, Georgia",,
"Sunday, July 15, 2001",Amsouth Amphitheatre,"Nashville, Tennessee",,
"Tuesday, July 17, 2001",Polaris Amphitheater,"Columbus, Ohio",,
"Wednesday, July 18, 2001",Sandstone Amphitheater,"Kansas City, Missouri",,
"Friday, July 20, 2001",Tweeter Center,"Chicago, Illinois",,
"Saturday, July 21, 2001",Verizon Wireless Music Center,"Noblesville, Indiana",,
"Thursday, June 27, 2002",Van Andel Arena,"Grand Rapids, Michigan",,
"Friday, June 28, 2002",Blossom Music Center,"Cuyahoga Fals, Ohio",,
"Sunday, June 30, 2002",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Wednesday, July 3, 2002",Darien Lake Theme Park,"Darien Lake, New York",,
"Friday, July 5, 2002",Saratoga Performing Arts Center,"Saratofa Springs, New York",,
"Saturday, July 6, 2002",PNC Banks Art Center,"Holmdel, New Jersey",,
"Monday, July 8, 2002",Mohegan Sun Arena,"Uncasville, Connecticut",,
"Wednesday, July 10, 2002",Verizon Wireless Arena ,"Manchester, New Hampshire",,
"Thursday, July 11, 2002",Tweeter Center,"Boston, Massachussetts",,
"Saturday, July 13, 2002",Coors Light Amphitheater,"Scranton, Pennsylvania",,
"Sunday, July 14, 2002",Hershey Stadium,"Hershey, Pennsylvania",,
"Tuesday, July 16, 2002",Star Lake Amphitheater,"Burgettstown, Pennsylvania",,
"Wednesday, July 17, 2002",Nissan Pavillion,"Bristow, Virginia",,
"Friday, July 19, 2002",Alltel Pavillion,"Raleigh, North Carolina",,
"Saturday, July 20, 2002",Verizon Wireless Amphitheater,"Charlotte, North Carolina",,
"Tuesday, August 6, 2002",Ice Palace,"Tampa, Florida",,
"Wednesday, August 7, 2002",Mars Music Amphitheater,"West Palm Beach, Florida",,
"Friday, August 9, 2002",HiFi Buys Amphitheater,"Atlanta, Georgia",,
"Saturday, August 10, 2002",Oak Mountain Amphitheater,"Pelham, Alabama",,
"Tuesday, August 13, 2002",Riverbend Music Center,"Cincinnati, Ohio",,
"Wednesday, August 14, 2002",Verizon Wireless Music Center,"Noblesville, Indiana",,
"Friday, August 16, 2002",Sandstone Amphitheater,"Bonner Springs, Kansas",,
"Saturday, August 17, 2002",UMB Bank Pavilion,"Maryland Heights, Missouri",,
"Monday, August 19, 2002",Red Rocks Amphitheater,"Morrison, Colorado",,
"Tuesday, August 20, 2002",Red Rocks Amphitheater,"Morrison, Colorado",,
"Thursday, August 22, 2002",Journal Pavilion,"Albuquerque, New Mexico",,
"Saturday, August 24, 2002",Glen Helen Blockbuster Pavilion,"Devore, California",,
"Sunday, August 25, 2002",Coors Amphitheater,"Chula Vista, California",,
"Wednesday, August 28, 2002",Idaho Center,"Nampa, Idaho",,
"Thursday, August 29, 2002",Reno Hilton Amphitheater,"Reno, Nevada",,
"Saturday, August 31, 2002",Auto West Amphitheater,"Marsyville, California",,
"Sunday, September 1, 2002",Chronicle Pavilion,"Concord, California",,
"Tuesday, October 15, 2002",Grand Olympic Auditorium,"Los Angeles, California",,
"Wednesday, October 16, 2002",Grand Olympic Auditorium,"Los Angeles, California",,
"Sunday, October 27, 2002",Santa Barbara Bowl,"Santa Barbara, California",,
"Tuesday, October 29, 2002",SDSU Open Air Theatre,"San Diego, California",,
"Wednesday, October 30, 2002",Shoreline Amphitheatre,"Mountain View, California",,
"Friday, November 1, 2002",Aladdin Theatre,"Las Vegas, Nevada",,
"Saturday, November 2, 2002",Cricket Pavilion,"Phoenix, Arizona",,
"Tuesday, November 5, 2002",The E Center,"West Valley City, Utah",,
"Thursday, November 7, 2002",Spokane Arena,"Spokane, Washington",,
"Saturday, November 9, 2002",Tacoma Dome,"Tacoma, Washington",,
"Sunday, November 10, 2002",Rose Garden Arena,"Portland, Oregon",,
"Friday, November 15, 2002",Compaq Center,"Houston, Texas",,
"Saturday, November 16, 2002",American Airlines Center,"Dallas, Texas",,
"Thursday, November 21, 2002",Frank Erwin Center,"Austin, Texas",,
"Satuday, November 23, 2002",Great Western Forum,"Inglewood, California",,
"Friday, November 29, 2002",Concert for George,"London, England",,
,Royal Albert Hall,,,
"Tuesday, December 3, 2002",First Union Spectrum,"Philadelphia, Pennsylvania",,
"Wednesday, December 4, 2002",Schottenstein Center,"Columbus, Ohio",,
"Friday, December 6, 2002",Rupp Arena,"Lexington, Kentucky",,
"Saturday, December 7, 2002",Palace of Auburn Hills,"Auburn Hills, Michigan",,
"Monday, December 9, 2002",Xcel Energy Center,"St. Paul, Minnesota",,
"Wednesday, December 11, 2002",United Center,"Chicago, Illinois",,
"Friday, December 13, 2002",Madison Square Garden,"New York City, New York",,
"Saturday, December 14, 2002",Fleet Center,"Boston, Massachussetts",,
"Sunday, April 13, 2003",Vic Theatre,"Chicago, Illinois",,
"Monday, April 14, 2003",Vic Theatre,"Chicago, Ilinois",,
"Wednesday, April 16, 2003",Vic Theatre,"Chicago, Illinois",,
"Thursday, April 17, 2003",Vic Theatre,"Chicago, Illinois",,
"Saturday, April 19, 2003",Vic Theatre,"Chicago, Illinois",,
"Monday, April 21, 2003",Grainger Studio,"Chicago, Illinois",,Soundstage
"Thursday, June 26, 2003",Sioux Falls Arena,"Sioux Falls, South Dakota",,
"Saturday, June 28, 2003",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Monday, June 30, 2003",US Cellular Center,"Cedar Rapids, Iowa",,
"Tuesday, July 1, 2003",Mid America Center,"Council Bluffs, Iowa",,
"Thursday, July 3, 2003",Rushmore Plaza,"Rapid City, South Dakota",,
"Saturday, July 5, 2003",Brick Breeden Fieldhouse,"Bozeman, Montana",,
"Tuesday, July 8, 2003",Bismarck Civic Center,"Bismarck, North Dakota",,
"Wednesday, July 9, 2003",Decc Arena,"Duluth, Minnesota",,
"Friday, July 11, 2003",Mid West Arena,"Mankato, Minnesota",,
"Sunday, July 13, 2003",Civic Center,"Peoria, Illinois",,
"Saturday, August 9, 2003",PNC Banks Arts Center,"Holmdel, New Jersey",,
"Sunday, August 10, 2003",PNC Banks Arts Center,"Holmdel, New Jersey",,
"Tuesday, August 12, 2003",NTELOS Pavilion Harbor Center,"Portsmouth, Virginia",,
"Wednesday, August 13, 2003",Gwinnett Center,"Atlanta, Georgia",,
"Friday, August 15, 2003",North Charleston Coliseum,"Charleston, South Carolina",,
"Saturday, August 16, 2003",Amsouth Amphitheatre,"Nashville, Tennessee",,
"Monday, August 18, 2003",Orpheum,"Memphis, Tennessee",,
"Tuesday, August 19, 2003",Orpheum,"Memphis, Tennessee",,
"Thursday, August 21, 2003",Ocean Center,"Daytona Beach, Florida",,
"Friday, August 22, 2003",Teco Arena,"Fort Myers, Florida",,
"Sunday, August 24, 2003",Oak Mountain Amphitheater,"Birmingham, Alabama",,
"Tuesday, August 26, 2003",UNO Arena,"New Orleans, Louisiana",,
"Friday, August 29, 2003",Snow King Amphitheater,"Jackson Hole, Wyoming",,
"Saturday, August 30, 2003",JAS Festival,"Aspen, Colorado",,
,Snowmass Vilalge Town Park,,,
"Saturday, February 7 2004",Art for Aids III: Concert for Stephen,"Dana Point, California",,
,St. Regis Monarch Beach Resort & Spa,,,
"Tuesday, June 7, 2005",Germain Arena,"Estero, Florida",,
"Wednesday, June 8, 2005",Sound Advice Amphitheater,"West Palm Beach, Florida",,
"Friday, June 10, 2005",Ford Amphitheatre,"Tampa, Florida",,
"Saturday, June 11, 2005",Music Midtown,"Atlanta, Georgia",,
"Tuesday, June 14, 2005",Riverbend Music Center,"Cincinnati, Ohio",,
"Wednesday, June 15, 2005",Post Gazette Pavilion,"Pittsburgh, Pennsylvania",,
"Friday, June 17, 2005",Tweeter Waterfront,"Philadelphia, Pennsylvania",,
"Saturday, June 18, 2005",Tweeter Center,"Mansfield, Massachussetts",,
"Tuesday, June 21, 2005",Jones Beach Amphitheater,"Wantagh, New York",,
"Wednesday, June 22, 2005",P.N.C. Bank Arts Center,"Holmdel, New Jersey",,
"Friday, June 24, 2005",Meadows Music Theatre,"Hartford, Connecticut",,
"Saturday, June 25, 2005",Darien Lake Performing Arts Center,"Darien Lake, New York",,
"Tuesday, June 28, 2005",Van Andel Arena,"Grand Rapids, Michigan",,
"Thursday, June 30, 2005",Blossom Music Center,"Cuyahoga Falls, Ohio",,
"Monday, July 1, 2005",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Tuesday, July 9, 2005",UMB Bank Pavilion,"Maryland Heights, Missouri",,
"Wednesday, July 10, 2005",Verizon Wireless Amphitheater,"Kansas City, Kansas",,
"Saturday, July 13, 2005",Starwood Amphitheatre,"Antioch, Tennessee",,
"Monday, July 15, 2005",Tweeter Center,"Tinley Park, Illinois",,
"Tuesday, July 16, 2005",Rockfest,"Caddot, Wisconsin",,
"Thursday, July 18, 2005",Wells Fargo Arena,"Des Moines, Iowa",,
"Saturday, July 20, 2005",DTE Energy Music Theatre,"Detroit, Michigan",,
"Sunday, July 21, 2005",Verizon Wireless Music Center,"Indianapolis, Indiana",,
"Tuesday, July 23, 2005",Ford Pavilion at Montage Mountain,"Scranton, Pennsylvania",,
"Wednesday, July 24, 2005",Borgata Resort & Casino,"Atlantic City, New Jersey",,
"Saturday, July 27, 2005",Merriweather Post Pavilion,"Columbia, Maryland",,
"Monday, July 29, 2005",Tweeter Center,"Mansfield, Massachussetts",,
"Tuesday, July 30, 2005",Saragota Performing Arts Center,"Saratoga Springs, New York",,
"Thursday, August 4, 2005",Mid-State Fair,"Paso Robles, California",,
"Saturday, August 13, 2005",Dodge Theatre,"Phoenix, Arizona",,
"Sunday, August 14, 2005",Verizon Wireless Amphitheatre,"Irvine, California",,
"Tuesday, August 16, 2005",The Joint,"Las Vegas, Nevada",,
"Thursday, August 18, 2005",Red Rocks Amphitheatre,"Morrison, Colorado",,
"Friday, August 19, 2005",The Cricket Pavilion,"Phoenix, Arizona",,
"Saturday, August 20, 2005",Coors Amphitheater,"San Diego, California",,
"Sunday, August 21, 2005",Hyundai Pavilion,"Devore, California",,
"Tuesday, August 23, 2005",New Reno Downtown Events Center,"Reno, Nevada",,
"Wednesday, August 24, 2005",Sleep Train Amphitheater,"Sacramento, California",,
"Friday, August 26, 2005",Greek Theatre,"Berkeley, California",,
"Saturday, August 27, 2005",Greek Theatre,"Berkeley, California",,
"Tuesday, August 30, 2005",Red Rocks Amphitheatre,"Morrison, Colorado",,
"Wednesday, August 31, 2005",Red Rocks Amphitheatre,"Morrison, Colorado",,
"Friday, September 2, 2005",The Gorge,"George, Washington",,
"Saturday, September 3, 2005",The Gorge,"George, Washington",,
"Friday, June 9, 2006",Verizon Amphitheatre,"Charlotte, North Carolina",,
"Saturday, June 10, 2006",Nissan Pavillion,"Bristow, Virginia",,
"Monday, June 12, 2006",Ntelos Pavilion,"Portsmouth, Virginia",,
"Wednesday, June 14, 2006",Germain Amphitheater,"Columbus, Ohio",,
"Friday, June 16, 2006",Bonnaroo Music Festival,"Manchester, Tennessee",,
"Saturday, June 17, 2006",UMB Bank Pavilion,"St. Louis, Missouri",,
"Tuesday, June 20, 2006",Madison Square Garden,"New York City, New York",,
"Wednesday, June 21, 2006",Tweeter Center,"Mansfield, Massachussetts",,
"Friday, June 23, 2006",Verizon Amphitheatre,"Indianapolis, Indiana",,
"Monday, June 26, 2006",Excel Arena,"St. Paul, Minnesota",,
"Tusday, June 27, 2006",Excel Arena,"St. Paul, Minnesota",,
"Thursday, June 29, 2006",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Friday, June 30, 2006",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Sunday, July 2, 2006",Pepsi Center,"Denver, Colorado",,
"Monday, July 3, 2006",Pepsi Center,"Denver, Colorado",,
"Saturday, July 29, 2006",Clark County Amphitheater,"Portland, Oregon",,
"Sunday, July 30, 2006",White River Amphitheater,"Seattle, Washington",,
"Friday, August 4, 2006",Smirnoff Music Center,"Dallas, Texas",,
"Saturday, August 5, 2006",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,
"Tuesday, August 8, 2006",DTE Music Center,"Detroit, Michigan",,
"Wednesday, August 9, 2006",Rock N The Rally,"Sturgis, South Dakota",,
"Saturday, August 12, 2006",Dodge Music Center,"Hartford, Connecticut",,
"Sunday, August 13, 2006",Saratoga Performing Arts Center,"Saratoga Springs, New York",,
"Tuesday, August 15, 2006",Darien Lake Performing Arts Center,"Darien Lake, New York",,
"Wednesday, August 16, 2006",Post-Gazette Pavilion,"Burgettstown, Pennsylvania",,
"Friday, August 18, 2006",Tweeter Center,"Camden, New Jersey",,
"Saturday, August 19, 2006",Amsterjam,"Randall's Island, New York",,
"Friday, September 8, 2006",Molson Amphitheater,"Toronto, Ontario",,
"Sunday, September 10, 2006",Alltel Pavilion,"Raleigh, North Carolina",,
"Tuesday, September 12, 2006",Alliant Energy Center,"Madison, Wisconsin",,
"Thursday, September 14, 2006",Charter One Pavilion,"Chicago, Illinois",,
"Friday, September 15, 2006",Charter One Pavilion,"Chicago, Illinois",,
"Sunday, September 17, 2006",Austin City Limits Festival,"Austin, Texas",,
"Thursday, September 21, 2006",Stephen O' Connell Center,"Gainesville, Florida",,
"Friday, September 22, 2006",Hi-Fi Buys Amphitheater,"Atlanta, Georgia",,
"Tuesday, September 26, 2006",Hollywood Bowl,"Los Angeles, California",,
"Wednesday, September 27, 2006",Coors Amphieater,"San Diego, California",,
"Friday, September 29, 2006",Greek Theatre,"Berkeley, California",,
"Saturday, September 30, 2006",Greek Theatre,"Berkeley, California",,
