ï..Date,Venue,City,Extras,Notes,latitude,longitude
"Sunday, August 24, 2014",DTE Energy Music Theatre,"Clarkson, Michigan",Setlist,,42.5512648,-82.9586042
"Tuesday, August 26, 2014",Air Canada Centre,"Toronto, Ontario",Setlist,,43.6534817,-79.3839347
"Thursday, August 28, 2014",Bell Centre,"Montreal, Quebec",Setlist,,45.5031824,-73.5698065
"Saturday, August 30, 2014",Fenway Park,"Boston, Massachusetts",Setlist,,42.3602534,-71.0582912
"Sunday, August 31, 2014",Cumberland County Civic Center,"Portland, Maine",Setlist,,43.6610277,-70.2548596
"Saturday, September 6, 2014",Lockn Festival,"Arrington, Virginia",Setlist,,37.6840306,-78.9011326
"Sunday, September 7, 2014",Darien Lake Performing Arts Center,"Darien Lake, New York",Setlist,,42.93194285,-78.38793960854856
"Wednesday, September 10, 2014",Madison Square Garden,"New York City, New York",Setlist,,40.7587979,-73.9623427
"Thursday, September 11, 2014",PNC Bank Arts Center,"Holmdel, New Jersey",Setlist,,40.3451095,-74.1840322
"Saturday, September 13, 2014",XL Center,"Hartford, Connecticut",Setlist,,41.764582,-72.6908547
"Monday, September 15, 2014",Wells Fargo Center,"Philadelphia, Pennsylvania",Setlist,Special Guest:Â Steve Winwood,39.9527237,-75.1635262
"Tuesday, September 16, 2014",PPL Center,"Allentown, Pennsylvania",Setlist,,40.6022059,-75.4712794
"Thursday, September 18, 2014",PNC Arena,"Raleigh, North Carolina",Setlist,,35.7803977,-78.6390989
"Saturday, September 20, 2014",Cruzan Amphitheater,"West Palm Beach, Florida",Setlist,,26.715364,-80.0532942
"Sunday, September 21, 2014",Tampa Bay Times Forum,"Tampa, Florida",Setlist,,27.9477595,-82.458444
"Tuesday, September 23, 2014",Bridgestone Arena,"Nashville, Tennessee",Setlist,Special Guest:Â Steve Winwood,36.1622767,-86.7742984
"Thursday, September 25, 2014",Toyota Center,"Houston, Texas",Setlist,,29.7589382,-95.3676974
"Friday, September 26, 2014",American Airlines Center,"Dallas, Texas",Setlist,,32.7762719,-96.7968559
"Sunday, September 28, 2014",BOK Center,"Tulsa, Oklahoma",Setlist,,36.1556805,-95.9929113
"Tuesday, September 30, 2014",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,,39.6535988,-105.1910996
"Wednesday, October 1, 2014",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,Special Guest:Â Steve Winwood,39.6535988,-105.1910996
"Friday, October 3, 2014",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,,39.6535988,-105.1910996
"Sunday, October 5, 2014",SAP Center,"San Jose, California",Setlist,,37.3361905,-121.890583
"Tuesday, October 7, 2014",Honda Center,"Anaheim, California",Setlist,,33.8347516,-117.911732
"Friday, October 10, 2014",The Forum,"Los Angeles, California",Setlist,,34.0536909,-118.242766
"Saturday, October 11, 2014",The Forum,"Los Angeles, California",Setlist,,34.0536909,-118.242766
"Monday, May 23, 2016",From Northridge With Love,"Northridge, California",,,34.2345615,-118.5369316
,Plaza Del Sol Performing Arts Center,,,,NA,NA
"Tuesday, May 24, 2016",From Northridge With Love,"Northridge, California",,,34.2345615,-118.5369316
,Plaza Del Sol Performing Arts Center,,,,NA,NA
"Thursday, May 26, 2016",Ogden Theatre,"Denver, Colorado",,,39.7392364,-104.9848623
"Saturday, May 28, 2016",The Riviera,"Chicago, Illinois",,,41.8755616,-87.6244212
"Sunday, May 29, 2016",Summer Camp Music Festival,"Chillicothe, Illinois",,,40.9161637,-89.4884384
"Tuesday, May 31, 2006",Ryman Auditorium,"Nashville, Tennesee",,,NA,NA
"Thursday, June 2, 2016",The Tabernacle,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Friday, June 3, 2016",Bunbury Music Festival,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Monday, June 6, 2016",9:30 Club,"Washington, D.C.",,,38.9074322,-77.0350922
"Tuesday, June 7, 2016",The Fillmore,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Friday, June 10, 2016",Webster Hall,"New York City, New York",,,40.7587979,-73.9623427
"Saturday, June 11, 2016",Webster Hall,"New York City, New York",,,40.7587979,-73.9623427
"Tuesday, June 14, 2016",Capitol Theater,"Port Chester, New York",,,41.0017643,-73.6656834
"Wednesday, June 19, 2016",The Fillmore,"San Francisco, California",,,37.7790262,-122.419906
"Monday, June 20, 2016",The Fillmore,"San Francisco, California",,,37.7790262,-122.419906
"Wednesday, June 22, 2016",Fox Theater,"Oakland, California",,,37.8044557,-122.2713563
"Saturday, June 25, 2016",The Fonda,"Los Angeles, California",,,34.0536909,-118.242766
"Sunday, June 26, 2016",The Fonda,"Los Angeles, California",,,34.0536909,-118.242766
"Tuesday, June 28, 2016",The Observatory,"Santa Ana, California",,,33.7494951,-117.8732213
"Thursday, June 30, 2016",Humphrey's Concerts by the Bay,"San Diego, California",,,32.7174202,-117.1627728
"Thursday, April 20, 2017",Cheseapeake Energy Arena,"Oklahoma City, Oklahoma",Setlist,,35.4729886,-97.5170536
"Saturday, April 22, 2017",American Airlines Arena,"Dallas, Texas",Setlist,,32.7762719,-96.7968559
"Sunday, April 23, 2017",Verizon Wireless arena,"Little Rock, Arkansas",Setlist,,34.7464809,-92.2895948
"Tuesday, April 25, 2017",Bridgestone Arena,"Nashville, Tennessee",Setlist,,36.1622767,-86.7742984
"Thursday, April 27, 2017",Philips Arena,"Atlanta, Georgia",Setlist,,33.7489924,-84.3902644
"Saturday, April 29, 2017",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",Setlist,,30.1734194,-95.504686
"Sunday, April 30, 2017",New Orleans Jazz & Heritage Festival,"New Orleans, Lousiana",Setlist,,29.9552815,-90.0654808
"Tuesday, May 2, 2017",Frank Erwin Center,"Austin, Texas",Setlist,Special Guest: Gary Clark. Jr.,30.2711286,-97.7436995
"Friday, May 5, 2017",Perfect Vodka Amphitheatre,"West Palm Beach, Florida",Setlist,,26.715364,-80.0532942
"Saturday, May 6, 2017",Amalie Arena,"Tampa, Florida",Setlist,,27.9477595,-82.458444
"Monday, May 8, 2017",FedEx Forum,"Memphis, Tennessee",Setlist,,35.1490215,-90.0516285
"Wednesday, May 10, 2017",State Farm Center,"Champaign, Illinois",Setlist,,40.1164841,-88.2430932
"Friday, May 12, 2017",Scottrade Center,"St. Louis, Missouri",Setlist,,38.6529545,-90.24111656024635
"Saturday, May 13, 2017",Klipsch Music Center,"Noblesville, Indiana",Setlist,,40.0455918,-86.0085955
"Saturday, May 27, 2017",BottleRock,"Napa, California",Setlist,,38.2971367,-122.2855293
"Monday, May 29, 2017",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,,39.6535988,-105.1910996
"Tuesday, May 30, 2017",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,,39.6535988,-105.1910996
"Friday, June 2, 2017",Sprint Center,"Kansas City, Missouri",Setlist,,39.100105,-94.5781416
"Saturday, June 3, 2017",Xcel Energy Center,"St. Paul, Minnesota",Setlist,,44.9497487,-93.0931028
"Monday, June 5, 2017",Wells Fargo Arena,"Des Moines, Iowa",Setlist,,41.5910323,-93.6046655
"Wednesday, June 7, 2017",Schottenstein Center,"Columbus, Ohio",Setlist,,39.9622601,-83.0007065
"Friday, June 9, 2017",PPG Paints Arena,"Pittsburgh, Pennsylvania",Setlist,,40.4416941,-79.9900861
"Saturday, June 10, 2017",Quicken Loans Arena,"Cleveland, Ohio",Setlist,,41.5051613,-81.6934446
"Monday, June 12, 2017",US Bank Arena,"Cincinnati, Ohio",Setlist,,39.1014537,-84.5124602
"Wednesday, June 14, 2017",Xfinity Center,"Hartford, Connecticut",Setlist,,41.764582,-72.6908547
"Friday, June 16, 2017",Prudential Center,"Newark, New Jersey",Setlist,,40.735657,-74.1723667
"Saturday, June 17, 2017",Mountain Jam Festival,"Hunter Mountain, New York",Setlist,Special Guest: Marty Stuart,42.1778662,-74.2304216
"Saturday, June 24, 2017",Arroyo Seco Weekend 2017,"Pasadena, California",Setlist,,34.1476452,-118.1444779
"Thursday, June 29, 2017",Wrigley Field,"Chicago, Illinois",Setlist,,41.8755616,-87.6244212
"Saturday, July 1, 2017",Wells Fargo Center,"Philadelphia, Pennsylvania",Setlist,,39.9527237,-75.1635262
"Sunday, July 2, 2017",Constellation Brands Marvin Sands Performing Arts Center,"Canandaigua, New York",Setlist,,42.8858579,-77.2799761
"Wednesday, July 5, 2017",Summerfest,"Milwaukee, Wisconsin",Setlist,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Thursday, July 6, 2017",Summerfest,"Milwaukee, Wisconsin",Setlist,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Sunday, July 9, 2017",Hyde Park,"London, England",Setlist,Special Guest: Stevie Nicks,51.5073219,-0.1276474
"Saturday, July 15, 2017",Air Canada Centre,"Toronto, Ontario",Setlist,,43.6534817,-79.3839347
"Sunday, July 16, 2017",RBC Ottawa Blues Festival,"Ottawa, Ontario",Setlist,,45.4211435,-75.6900574
"Tuesday, July 18, 2017",DTE Energy Center,"Clarkson, Michigan",Setlist,,42.5512648,-82.9586042
"Thursday, July 20, 2017",TD Garden,"Boston, Massachusetts",Setlist,,42.3602534,-71.0582912
"Friday, July 21, 2017",TD Garden,"Boston, Massachusetts",Setlist,,42.3602534,-71.0582912
"Sunday, July 23, 2015",Royal Farms Arena,"Baltimore, Maryland",Setlist,,39.2908816,-76.610759
"Wednesday, July 26, 2017",Forest Hills Tennis Stadium,"Forest Hills, New York",Setlist,,40.7195942,-73.8448553
"Thursday, July 27, 2017",Forest Hills Tennis Stadium,"Forest Hills, New York",Setlist,,40.7195942,-73.8448553
"Saturday, July 29, 2017",Wells Fargo Center,"Philadelphia, Pennsylvania",Setlist,,39.9527237,-75.1635262
"Thursday, August 17, 2017",Pepsi Live at Rogers Arena,"Vancouver, British Columbia",Setlist,,49.2608724,-123.113952
"Saturday, August 19, 2017",Safeco Field,"Seattle, Washington",Setlist,,47.6038321,-122.3300624
"Tuesday, August 22, 2017",Greek Theatre,"Berkeley, California",Setlist,,37.8753497,-122.23963364918777
"Monday, August 28, 2017",Greek Theatre,"Berkeley, California",Setlist,Postponed from August 23,37.8753497,-122.23963364918777
"Wednesday, August 30, 2017",Greek Theatre,"Berkeley, California",Setlist,Postponed from August 27,37.8753497,-122.23963364918777
"Friday, September 1, 2017",Golden 1 Center,"Sacramento, California",Setlist,Postponed from August 25,38.5810606,-121.493895
"Sunday, September 17, 2017",KAABOO Festival,"Del Mar, California",Setlist,,32.9594891,-117.2653146
,Del Mar Fairgrounds,,,,NA,NA
"Thursday, September 21, 2017",Hollywood Bowl,"Los Angeles, California",Setlist,,34.0536909,-118.242766
"Friday, September 22, 2017",Hollywood Bowl,"Los Angeles, California",Setlist,,34.0536909,-118.242766
"Monday, September 25, 2017",Hollywood Bowl,"Los Angeles, California",Setlist,,34.0536909,-118.242766
